movie,production_budget,worldwide_gross,release_month,release_year_x,genre_ids
Avengers: Infinity War,300000000,2048134200,4,2018,"[12, 28, 14]"
Black Panther,200000000,1348258224,2,2018,"[28, 12, 14, 878]"
Star Wars: The Last Jedi,317000000,1316721747,12,2017,"[14, 12, 878, 28]"
Jurassic World: Fallen Kingdom,170000000,1305772799,6,2018,"[28, 12, 878]"
Beauty and the Beast,160000000,1259199706,3,2017,"[10751, 14, 10749]"
Incredibles 2,200000000,1242520711,6,2018,"[28, 12, 16, 10751]"
The Fate of the Furious,250000000,1234846267,4,2017,"[28, 80, 53]"
Aquaman,160000000,1146894640,12,2018,"[28, 12, 14]"
Captain America: Civil War,250000000,1140069413,5,2016,"[12, 28, 878]"
Rogue One: A Star Wars Story,200000000,1049102856,12,2016,"[28, 12, 878]"
Despicable Me 3,75000000,1034727750,6,2017,"[28, 16, 35, 10751, 12]"
Finding Dory,200000000,1021215193,6,2016,"[12, 16, 35, 10751]"
Zootopia,150000000,1019429616,3,2016,"[16, 12, 10751, 35]"
Jumanji: Welcome to the Jungle,90000000,964496193,12,2017,"[28, 12, 35, 14]"
The Jungle Book,175000000,962854547,4,2016,"[12, 18, 10751, 14]"
Bohemian Rhapsody,55000000,894985342,11,2018,"[18, 10402]"
The Secret Life of Pets,75000000,886750534,7,2016,"[12, 35, 16, 10751]"
Spider-Man: Homecoming,175000000,880166350,7,2017,"[28, 12, 878, 18]"
Batman v Superman: Dawn of Justice,250000000,867500281,3,2016,"[28, 12, 14]"
Venom,116000000,853628605,10,2018,"[878, 28]"
Thor: Ragnarok,180000000,846980024,11,2017,"[28, 12, 35, 14]"
Wonder Woman,150000000,821133378,6,2017,"[12, 14, 10752, 10749]"
Fantastic Beasts and Where to Find Them,180000000,802402853,11,2016,"[12, 10751, 14]"
Deadpool,58000000,801025593,2,2016,"[28, 12, 35]"
Coco,175000000,798008101,11,2017,"[16, 10751, 35, 12, 14]"
Pirates of the Caribbean: Dead Men Tell No Tales,230000000,788241137,5,2017,"[12, 28, 14, 35]"
Deadpool 2,110000000,786680557,5,2018,"[28, 35, 12]"
Suicide Squad,175000000,746059887,8,2016,"[28, 12, 80, 14, 878]"
It,35000000,697457969,9,2017,"[27, 53]"
Doctor Strange,165000000,676404566,11,2016,"[28, 12, 14, 878]"
Justice League,300000000,655945209,11,2017,"[28, 12, 14, 878]"
Fantastic Beasts: The Crimes of Grindelwald,200000000,652220086,11,2018,[12]
Moana,150000000,637517365,11,2016,"[12, 35, 10751, 16]"
Sing,75000000,634454789,12,2016,"[16, 35, 18, 10751]"
Ant-Man and the Wasp,130000000,623144660,7,2018,"[28, 12, 878, 35]"
Logan,127000000,615461394,3,2017,"[28, 18, 878]"
Transformers: The Last Knight,217000000,602893340,6,2017,"[28, 878, 53, 12]"
Ready Player One,150000000,579290136,3,2018,"[12, 878]"
Kong: Skull Island,185000000,561072059,3,2017,"[28, 12, 14]"
X-Men: Apocalypse,178000000,542537546,5,2016,"[28, 12, 878, 14]"
The Meg,178000000,529530715,8,2018,"[28, 878, 53, 27]"
Hotel Transylvania 3: Summer Vacation,65000000,527079962,7,2018,"[10751, 14, 35, 16]"
Kung Fu Panda 3,140000000,517599142,1,2016,"[28, 12, 16, 35, 10751]"
The Boss Baby,125000000,510878762,3,2017,"[16, 35, 10751]"
Dunkirk,150000000,499837368,7,2017,"[10752, 28, 18]"
War for the Planet of the Apes,152000000,489592267,7,2017,"[18, 878, 10752]"
Bumblebee,102000000,465195589,12,2018,"[28, 12, 878]"
Rampage,120000000,428056280,4,2018,"[28, 12, 878, 14]"
La La Land,20000000,426351163,12,2016,"[35, 18, 10749]"
Warcraft,160000000,425522281,6,2016,"[28, 12, 14]"
Jason Bourne,120000000,416168316,7,2016,"[28, 53]"
The Mummy,195000000,409953905,6,2017,"[14, 53, 28, 12, 27]"
Kingsman: The Golden Circle,104000000,408803696,9,2017,"[28, 12, 35]"
Ice Age: Collision Course,105000000,402156682,7,2016,"[12, 16, 10751, 35]"
Solo: A Star Wars Story,275000000,393151347,5,2018,"[28, 12, 878]"
The Greatest Showman,84000000,386665550,12,2017,[18]
Independence Day: Resurgence,165000000,384169424,6,2016,"[28, 12, 878]"
Cars 3,175000000,383541369,6,2017,"[12, 16, 35, 10751]"
Fifty Shades Darker,55000000,381398492,2,2017,"[18, 10749]"
Fifty Shades Freed,55000000,371350619,2,2018,"[18, 10749]"
The Angry Birds Movie,73000000,352327887,5,2016,"[16, 12, 35]"
The Legend of Tarzan,180000000,348902025,7,2016,"[28, 12]"
Peter Rabbit,50000000,347136477,2,2018,"[16, 12, 10751]"
Murder on the Orient Express,55000000,345922730,11,2017,"[80, 18, 9648]"
xXx: Return of Xander Cage,85000000,345033359,1,2017,"[28, 12, 80]"
Trolls,125000000,344150134,11,2016,"[12, 10751, 35, 14, 10402, 16]"
Mary Poppins Returns,130000000,341528518,12,2018,"[14, 10751, 35]"
Star Trek Beyond,185000000,335802233,7,2016,"[28, 12, 878]"
A Quiet Place,17000000,334522294,4,2018,"[18, 27, 53, 878]"
The Great Wall,150000000,334486852,2,2017,"[28, 12, 14]"
Now You See Me 2,90000000,328325007,6,2016,"[28, 35, 53]"
Green Book,23000000,322034439,11,2018,"[18, 35]"
Resident Evil: The Final Chapter,40000000,314101190,1,2017,"[28, 27, 878]"
The Lego Batman Movie,80000000,310660018,2,2017,"[28, 16, 35, 10751, 14]"
Annabelle: Creation,15000000,305384865,8,2017,"[27, 9648, 53]"
Wonder,20000000,304604712,11,2017,"[18, 10751]"
Skyscraper,125000000,304115534,7,2018,[28]
Passengers,110000000,302239672,12,2016,"[18, 10749, 878]"
Dangal,9500000,294654618,12,2016,"[18, 28]"
Pacific Rim: Uprising,155000000,290930148,3,2018,"[28, 14, 878, 12]"
Ferdinand,111000000,289847930,12,2017,"[16, 10751, 12, 35]"
Split,5000000,278964806,1,2017,"[27, 53]"
Alice Through the Looking Glass,170000000,276928112,5,2016,"[12, 10751, 14]"
Tomb Raider,90000000,273477501,3,2018,"[28, 12, 14]"
Maze Runner: The Death Cure,61000000,265878536,1,2018,"[28, 878]"
Baahubali 2: The Conclusion,30000000,263502914,4,2017,"[28, 18]"
Blade Runner 2049,185000000,259357408,10,2017,"[878, 28, 53]"
Get Out,5000000,255367951,2,2017,"[9648, 53, 27]"
Halloween,10000000,254900667,10,2018,"[53, 27]"
Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,245328374,6,2016,"[28, 12, 35, 10751, 878]"
Sully,60000000,238524556,9,2016,"[18, 36]"
Alien: Covenant,97000000,238521247,5,2017,"[27, 878, 53]"
Crazy Rich Asians,30000000,238099711,8,2018,"[35, 18, 10749]"
Hidden Figures,25000000,231771716,12,2016,"[18, 36]"
Ghostbusters,144000000,229008658,7,2016,"[28, 14, 35]"
Baby Driver,34000000,228104185,6,2017,"[28, 80]"
Geostorm,100000000,220796009,10,2017,"[28, 878, 53]"
Inferno,75000000,219519367,10,2016,"[9648, 53, 18]"
Central Intelligence,50000000,217194805,6,2016,"[28, 35, 9648]"
The Emoji Movie,50000000,216562312,7,2017,"[16, 10751, 35]"
Valerian and the City of a Thousand Planets,180000000,215098356,7,2017,"[12, 878, 28]"
Smallfoot,80000000,213691277,9,2018,"[16, 10751, 12, 14]"
Creed II,50000000,213591522,11,2018,[18]
Me Before You,20000000,208265198,6,2016,"[18, 10749]"
Arrival,47000000,203127894,11,2016,"[18, 878, 9648]"
The BFG,140000000,199646680,7,2016,"[12, 10751, 14]"
Smurfs: The Lost Village,60000000,197578586,4,2017,"[12, 16, 35, 10751]"
Christopher Robin,75000000,197504758,8,2018,"[12, 35, 10751, 14]"
The Shape of Water,19500000,195790794,12,2017,"[18, 14, 10749]"
London Has Fallen,60000000,195194085,3,2016,"[28, 53]"
The Equalizer 2,77000000,190453132,7,2018,"[53, 28, 80]"
Pitch Perfect 3,45000000,185736412,12,2017,"[35, 10402]"
Storks,70000000,183353431,9,2016,"[12, 16, 35, 10751]"
Bad Moms,20000000,180998716,7,2016,[35]
The Post,50000000,179748880,12,2017,"[18, 36]"
Baywatch,60000000,175863783,5,2017,"[28, 35]"
The Girl on the Train,45000000,174278214,10,2016,"[80, 18, 9648, 10749, 53]"
The Mule,50000000,170857676,12,2018,"[80, 18, 53]"
The Nutcracker and the Four Realms,132900000,170293899,11,2018,"[14, 12, 10751]"
Hacksaw Ridge,40000000,168904682,11,2016,"[18, 36, 10752]"
Ghost in the Shell,110000000,167910690,3,2017,"[28, 878, 53, 18]"
Insidious: The Last Key,10000000,167885588,1,2018,"[9648, 27, 53]"
The Magnificent Seven,90000000,162525156,9,2016,"[12, 28, 37]"
"Three Billboards Outside Ebbing, Missouri",12000000,160191915,11,2017,"[80, 18]"
Jack Reacher: Never Go Back,60000000,159946489,10,2016,"[28, 53]"
The Predator,88000000,159487563,9,2018,"[878, 28, 53, 12, 27]"
The Accountant,40000000,152962083,10,2016,"[80, 53, 18]"
Darkest Hour,30000000,150807172,11,2017,"[18, 36]"
Lion,12000000,149570720,11,2016,[18]
Lights Out,5000000,148806510,7,2016,"[53, 9648, 27]"
Red Sparrow,69000000,145951861,3,2018,"[9648, 53]"
Power Rangers,120000000,142531552,3,2017,"[28, 12, 878]"
Sausage Party,19000000,141344255,8,2016,"[12, 16, 35, 14]"
Girls Trip,28000000,140886353,7,2017,[35]
The Foreigner,35000000,140783360,10,2017,"[28, 53, 18]"
King Arthur: Legend of the Sword,175000000,139630336,5,2017,"[28, 18, 14]"
Gods of Egypt,140000000,138836756,2,2016,"[28, 12, 14, 878]"
The First Purge,13000000,136617305,7,2018,"[28, 878, 53, 27]"
American Made,50000000,135569212,9,2017,"[28, 80]"
A Wrinkle in Time,103000000,133401882,3,2018,"[12, 878, 10751, 14]"
A Bad Moms Christmas,28000000,127710550,11,2017,[35]
Captain Underpants: The First Epic Movie,38000000,126577874,6,2017,"[28, 16, 35, 10751]"
Happy Death Day,5000000,125010260,10,2017,"[27, 9648, 53]"
Ride Along 2,40000000,124827316,1,2016,"[28, 35]"
Dragon Ball Super: Broly,8500000,122747755,1,2019,"[28, 16, 14, 12, 35, 878]"
The Lego Ninjago Movie,70000000,122737201,9,2017,"[28, 16, 12, 10751]"
Deepwater Horizon,156000000,122603824,9,2016,"[18, 28]"
Instant Family,48000000,119736188,11,2018,"[35, 18]"
Allied,106000000,119266661,11,2016,"[28, 18, 10752, 10749, 53]"
The Upside,37500000,119024536,1,2019,"[35, 18]"
The Shallows,13000000,118763442,6,2016,"[27, 18, 53]"
The Purge: Election Year,10000000,118514727,7,2016,"[28, 27, 53]"
Why Him?,38000000,117425156,12,2016,[35]
Game Night,37000000,117378084,2,2018,"[9648, 35, 80]"
The Dark Tower,60000000,113461527,8,2017,"[28, 14, 878, 37, 27]"
The 5th Wave,38000000,111336398,1,2016,"[12, 878]"
Mechanic: Resurrection,40000000,109738840,8,2016,"[28, 80, 53]"
Neighbors 2: Sorority Rising,35000000,108757621,5,2016,[35]
10 Cloverfield Lane,5000000,108286422,3,2016,"[53, 878, 18]"
First Man,60000000,105203825,10,2018,"[36, 18]"
Dirty Grandpa,11500000,105078449,1,2016,[35]
Night School,29000000,103008792,9,2018,[99]
Jigsaw,10000000,102445196,10,2017,"[80, 27, 9648, 53]"
The Little Prince,77500000,102028919,2,2016,"[12, 16, 14, 10751]"
The Commuter,40000000,101985431,1,2018,"[28, 53]"
Life,58000000,100929666,3,2017,"[27, 878, 53]"
Alpha,51000000,99624873,8,2018,"[12, 18]"
Atomic Blonde,30000000,98345423,7,2017,"[28, 9648, 53]"
A Simple Favor,20000000,97628717,9,2018,"[53, 80, 9648, 35, 18]"
Ballerina,30000000,96892829,8,2017,"[16, 12, 35, 10751]"
Truth or Dare,3500000,95127344,4,2018,[27]
The Favourite,15000000,94113929,11,2018,"[18, 36, 35]"
Blockers,21000000,94045328,4,2018,[35]
Money Monster,27000000,93466095,5,2016,"[53, 18]"
Goosebumps 2: Haunted Halloween,35000000,93291478,10,2018,"[12, 35, 14, 10751, 27]"
BlacKkKlansman,15000000,93017335,8,2018,"[80, 18]"
My Big Fat Greek Wedding 2,18000000,92096558,3,2016,"[10749, 35, 10751]"
Ben-Hur,95000000,91669648,8,2016,"[28, 12, 18]"
I Feel Pretty,32000000,91553797,4,2018,[35]
Office Christmas Party,45000000,91323299,12,2016,[35]
Book Club,10000000,91113683,5,2018,"[35, 10749, 18]"
Sherlock Gnomes,59000000,87527651,3,2018,"[10749, 16, 35, 10751, 14, 9648, 12]"
War Dogs,50000000,86234503,8,2016,"[35, 80, 18]"
I Can Only Imagine,7000000,85604221,3,2018,"[18, 10751, 10402]"
Overboard,12000000,85369830,5,2018,"[10749, 35]"
Collateral Beauty,36000000,85309093,12,2016,"[18, 10749]"
Mortal Engines,100000000,85287417,12,2018,"[12, 14]"
Robin Hood,99000000,84747441,11,2018,"[12, 28, 53]"
Rings,25000000,82917283,2,2017,[27]
Ouija: Origin of Evil,9000000,81831866,10,2016,"[27, 53]"
Underworld: Blood Wars,35000000,81209222,1,2017,"[28, 14, 27, 18]"
Den of Thieves,30000000,80131391,1,2018,"[28, 53, 80]"
Going in Style,24000000,78672579,4,2017,"[80, 35]"
The Boss,29000000,78652207,4,2016,[35]
Lady Bird,10000000,78610769,11,2017,"[35, 18]"
Manchester by the Sea,8500000,77733867,11,2016,[18]
Kubo and the Two Strings,55000000,77548122,8,2016,"[16, 12, 10751]"
Tag,28000000,77026186,6,2018,"[35, 18]"
Mike and Dave Need Wedding Dates,33000000,75898100,7,2016,[35]
Sicario: Day of the Soldado,35000000,75885196,6,2018,"[28, 80, 18, 53]"
Widows,40000000,73866088,11,2018,"[80, 53]"
Miracles from Heaven,13000000,73798736,3,2016,[18]
12 Strong,35000000,71118378,1,2018,"[10752, 18, 36, 28]"
Vice,60000000,70883171,12,2018,"[18, 36, 35]"
Nerve,20000000,70652284,7,2016,"[9648, 12, 80]"
Hereditary,10000000,70133905,6,2018,"[27, 9648, 53]"
13 Hours: The Secret Soldiers of Benghazi,50000000,69411370,1,2016,"[28, 18, 36, 53, 10752]"
American Assassin,63000000,68310140,9,2017,"[28, 53]"
The Boy,10000000,68220952,1,2016,"[27, 53, 9648]"
Mile 22,35000000,66295121,8,2018,[28]
Life of the Party,30000000,65759911,5,2018,[35]
"Love, Simon",10000000,65520633,3,2018,"[35, 18, 10749]"
Moonlight,1500000,65245512,10,2016,[18]
Fences,24000000,64282881,12,2016,[18]
"Hail, Caesar!",22000000,64160680,2,2016,"[35, 18, 9648]"
Second Act,15700000,63288854,12,2018,"[10749, 35]"
The Star,20000000,62758010,11,2017,"[35, 12, 10751, 14, 16]"
How to Be a Latin Lover,10000000,62556228,4,2017,[35]
Monster Trucks,125000000,61642798,1,2017,"[28, 35, 878]"
"Everything, Everything",10000000,61603136,5,2017,"[18, 10749]"
The Nice Guys,50000000,59596747,5,2016,"[35, 80, 9648]"
Adrift,35000000,57897191,6,2018,"[53, 10749, 12]"
Snatched,42000000,57852177,5,2017,"[28, 35]"
The Nut Job 2: Nutty by Nature,40000000,57438389,8,2017,"[10751, 16, 12, 35]"
The 15:17 to Paris,30000000,56096200,2,2018,"[18, 36, 53]"
Florence Foster Jenkins,29000000,56000339,8,2016,"[35, 18]"
Zoolander 2,50000000,55348693,2,2016,[35]
All Eyez on Me,45000000,54876855,6,2017,"[18, 10402]"
Downsizing,68000000,54462971,12,2017,"[35, 18, 878]"
Barbershop: The Next Cut,20000000,54404202,4,2016,[35]
The Big Sick,5000000,53972860,6,2017,"[35, 18, 10749]"
"I, Tonya",11000000,53797409,12,2017,[18]
Patriots Day,40000000,52837989,12,2016,"[28, 18, 53, 80, 36]"
Peppermint,25000000,51800758,9,2018,"[53, 28, 18]"
Slender Man,10000000,51723644,8,2018,"[9648, 53, 27]"
Breaking In,6000000,51411620,5,2018,"[53, 80, 28]"
The Finest Hours,70000000,49252761,1,2016,"[28, 18, 36, 53]"
Operation Chromite,12700000,49196532,8,2016,"[36, 18, 10752, 28]"
