movie,production_budget,worldwide_gross,release_month,release_year_x,genre_ids
Avengers: Infinity War,300000000,2048134200,4,2018,"[12, 28, 14]"
Black Panther,200000000,1348258224,2,2018,"[28, 12, 14, 878]"
Star Wars: The Last Jedi,317000000,1316721747,12,2017,"[14, 12, 878, 28]"
Jurassic World: Fallen Kingdom,170000000,1305772799,6,2018,"[28, 12, 878]"
Beauty and the Beast,160000000,1259199706,3,2017,"[10751, 14, 10749]"
Incredibles 2,200000000,1242520711,6,2018,"[28, 12, 16, 10751]"
The Fate of the Furious,250000000,1234846267,4,2017,"[28, 80, 53]"
Aquaman,160000000,1146894640,12,2018,"[28, 12, 14]"
Captain America: Civil War,250000000,1140069413,5,2016,"[12, 28, 878]"
Rogue One: A Star Wars Story,200000000,1049102856,12,2016,"[28, 12, 878]"
