movie_id,primary_title,start_year,genres,person_id,category,job,primary_name
tt0069049,The Other Side of the Wind,2018,Drama,nm0550881,producer,producer,Frank Marshall
tt3263904,Sully,2016,"Biography,Drama",nm0550881,producer,producer,Frank Marshall
tt3691740,The BFG,2016,"Adventure,Family,Fantasy",nm0550881,producer,producer,Frank Marshall
tt4196776,Jason Bourne,2016,"Action,Thriller",nm0550881,producer,producer,Frank Marshall
tt5719232,Finding Oscar,2016,"Crime,Documentary,Drama",nm0550881,producer,producer,Frank Marshall
tt7445772,Satan & Adam,2018,"Documentary,Music",nm0550881,producer,producer,Frank Marshall
tt0069049,The Other Side of the Wind,2018,Drama,nm1475059,producer,producer,Filip Jan Rymsza
tt4523530,Valley of the Gods,2019,Drama,nm1475059,producer,producer,Filip Jan Rymsza
tt6744360,Lost Transmissions,2019,Drama,nm1475059,producer,producer,Filip Jan Rymsza
tt6893836,They'll Love Me When I'm Dead,2018,Documentary,nm1475059,producer,producer,Filip Jan Rymsza
tt0100275,The Wandering Soap Opera,2017,"Comedy,Drama,Fantasy",nm0462571,producer,producer,Leo Kocking
tt0100275,The Wandering Soap Opera,2017,"Comedy,Drama,Fantasy",nm1856792,producer,producer,Andrés Racz
tt0111414,A Thin Life,2018,Comedy,nm3739909,producer,producer,Barry Porter-Robinson
tt0112502,Bigfoot,2017,"Horror,Thriller",nm0227234,producer,producer,Danny Dimbort
tt0112502,Bigfoot,2017,"Horror,Thriller",nm0373872,producer,producer,Manfred D. Heid
tt0137204,Joe Finds Grace,2017,"Adventure,Animation,Comedy",nm0153581,producer,producer,Ron Chartier
tt0137204,Joe Finds Grace,2017,"Adventure,Animation,Comedy",nm0448515,producer,producer,Ingrid Kenning
tt0137204,Joe Finds Grace,2017,"Adventure,Animation,Comedy",nm0908708,producer,producer,Jim Wallace
tt0192528,Heaven & Hell,2018,Drama,nm0666999,producer,producer,Steven Paul
tt1206885,Rambo: Last Blood,2019,"Action,Adventure,Thriller",nm0666999,producer,producer,Steven Paul
tt7278120,Nun's Deadly Confession,2019,"Horror,Thriller",nm0666999,producer,producer,Steven Paul
tt1542768,True Memoirs of an International Assassin,2016,"Action,Comedy,Crime",nm0307776,producer,producer,Todd Garner
tt2452244,Isn't It Romantic,2019,"Comedy,Fantasy,Romance",nm0307776,producer,producer,Todd Garner
tt2854926,Tag,2018,Comedy,nm0307776,producer,producer,Todd Garner
tt5734576,The Possession of Hannah Grace,2018,"Horror,Mystery,Thriller",nm0307776,producer,producer,Todd Garner
tt6048930,Naked,2017,"Comedy,Fantasy,Romance",nm0307776,producer,producer,Todd Garner
tt6535880,Haunt,2019,"Horror,Thriller",nm0307776,producer,producer,Todd Garner
tt9134216,Playing with Fire,2019,Comedy,nm0307776,producer,producer,Todd Garner
tt4786282,Lights Out,2016,"Drama,Horror,Mystery",nm1490123,producer,producer,James Wan
tt4913966,The Curse of La Llorona,2019,"Horror,Mystery,Thriller",nm1490123,producer,producer,James Wan
